time,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
143.36,7.313262484639575e-16,1.8709324766802227e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.8868352314691254e-18,-1.0910284330223908e-29,0.0,0.0,0.0,1.4119172543435834e-17
143.39,7.314297071709991e-16,1.8714028913044894e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.989052011696243e-18,-1.1296473286749873e-29,0.0,0.0,0.0,2.109406107306773e-17
143.43,7.315026323344613e-16,1.8717160392366174e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.891124683857178e-18,-1.0926380328125172e-29,0.0,0.0,0.0,-2.6057393974526093e-18
143.46,7.315964128118362e-16,1.8720935973623588e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.736389266197663e-18,-1.0341698566003858e-29,0.0,0.0,0.0,-2.0367043278192154e-17
143.49,7.317300499286947e-16,1.8726914507477839e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.88807385815408e-18,-1.0914843239209985e-29,0.0,0.0,0.0,-3.967940133431093e-17
143.53,7.317040501744809e-16,1.8725806356039943e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.355570923318978e-18,-8.9023959341346e-30,0.0,0.0,0.0,-2.4773618187400637e-17
143.56,7.317501554192344e-16,1.8727549314099993e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.2404770822323428e-18,-8.467523243690104e-30,0.0,0.0,0.0,-8.947037863481878e-18
143.59,7.318086205538298e-16,1.8730284479235215e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.9910302133069457e-18,-7.524712958702105e-30,0.0,0.0,0.0,3.166979375097432e-17
143.63,7.31860456997722e-16,1.8732504223266595e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.8588426604909267e-18,-7.02514374080404e-30,0.0,0.0,0.0,-1.3534802092966837e-18
143.66,7.319248317424012e-16,1.8735039423053638e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.7703865762258145e-18,-6.690934253936526e-30,0.0,0.0,0.0,2.3048610920137033e-17
143.69,7.320520793230471e-16,1.8740694705645187e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.6895311146968235e-18,-6.385273412823874e-30,0.0,0.0,0.0,1.0104369698889471e-17
